,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,61.0,114.0,153.0,203.0,225.0,189.0,194.0,233.0,240.0,237.0,286.0,418.0,475
Expenses,49.0,87.0,115.0,156.0,176.0,153.0,150.0,174.0,179.0,172.0,216.0,329.0,381
Operating Profit,13.0,26.0,38.0,47.0,49.0,36.0,44.0,59.0,61.0,65.0,70.0,89.0,94
OPM %,21.0,23.0,25.0,23.0,22.0,19.0,23.0,25.0,26.0,27.0,25.0,21.0,20
Other Income,3.0,1.0,2.0,5.0,3.0,-2.0,4.0,3.0,3.0,3.0,4.0,8.0,8
Interest,0.0,2.0,11.0,12.0,9.0,11.0,12.0,10.0,20.0,17.0,18.0,22.0,23
Depreciation,6.0,9.0,15.0,25.0,30.0,39.0,40.0,41.0,51.0,49.0,51.0,52.0,55
Profit before tax,10.0,15.0,14.0,15.0,12.0,-15.0,-4.0,11.0,-6.0,2.0,4.0,22.0,24
Tax %,35.0,-30.0,-64.0,-68.0,-75.0,68.0,-0.0,10.0,-138.0,98.0,58.0,38.0,
Net Profit,6.0,20.0,22.0,25.0,21.0,-5.0,-4.0,10.0,-15.0,0.0,2.0,13.0,15
EPS in Rs,0.62,1.93,1.81,1.48,1.23,-0.3,-0.21,0.58,-0.9,0.0,0.1,0.8,0.91
