,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,8.63,9.0,12.62,13.06,17.74,20.78,22.68,23.13,21.46,19.24,18.77,19.0,17.64
Expenses,6.53,6.81,10.09,10.82,15.68,19.17,20.56,19.17,19.46,17.46,18.2,16.15,16.81
Operating Profit,2.1,2.19,2.53,2.24,2.06,1.61,2.12,3.96,2.0,1.78,0.57,2.85,0.83
OPM %,24.33,24.33,20.05,17.15,11.61,7.75,9.35,17.12,9.32,9.25,3.04,15.0,4.71
Other Income,-0.56,4.03,3.37,9.67,2.23,10.6,-7.38,-19.99,-3.9,6.06,15.72,0.76,3.57
Interest,0.08,0.02,0.17,0.24,0.29,0.21,0.28,0.35,0.01,-0.08,1.4,0.09,0.09
Depreciation,0.61,0.6,0.68,0.57,0.58,0.53,0.91,0.38,0.38,0.39,0.67,0.43,0.54
Profit before tax,0.85,5.6,5.05,11.1,3.42,11.47,-6.45,-16.76,-2.29,7.53,14.22,3.09,3.77
Tax %,28.24,11.43,10.69,3.15,14.62,2.44,-27.13,-3.82,-31.88,9.03,4.08,21.68,22.28
Net Profit,0.62,4.96,4.51,10.75,2.92,11.18,-8.21,-17.4,-3.03,6.85,13.65,2.42,2.93
EPS in Rs,0.37,2.95,2.68,6.39,1.74,6.65,-4.88,-10.34,-1.8,4.07,8.11,1.64,1.98
