,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,762.0,859.0,1064.0,1127.0,1035.0,1010.0,1053.0,1160.0,1354.0,1305.0,2153.0,2204.0,2214
Expenses,705.0,724.0,895.0,993.0,909.0,892.0,952.0,1031.0,1218.0,1094.0,1554.0,1922.0,2029
Operating Profit,56.0,135.0,170.0,134.0,126.0,118.0,101.0,129.0,136.0,211.0,599.0,282.0,185
OPM %,7.0,16.0,16.0,12.0,12.0,12.0,10.0,11.0,10.0,16.0,28.0,13.0,8
Other Income,7.0,2.0,1.0,17.0,4.0,14.0,13.0,2.0,3.0,-3.0,24.0,-18.0,32
Interest,53.0,71.0,81.0,79.0,51.0,40.0,29.0,39.0,58.0,38.0,32.0,26.0,36
Depreciation,26.0,41.0,47.0,70.0,59.0,58.0,56.0,54.0,63.0,52.0,44.0,48.0,70
Profit before tax,-15.0,25.0,43.0,3.0,20.0,35.0,29.0,38.0,18.0,118.0,547.0,190.0,112
Tax %,-70.0,-30.0,36.0,-204.0,44.0,37.0,34.0,36.0,32.0,28.0,25.0,30.0,
Net Profit,-26.0,32.0,27.0,8.0,11.0,22.0,19.0,24.0,12.0,85.0,409.0,132.0,83
EPS in Rs,-18.36,22.65,19.32,5.65,8.01,15.34,13.49,16.92,8.7,63.56,308.0,99.33,63.33
