,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,20.3,26.16,32.61,31.33,36.6,40.62,41.58,42.97,37.79,35.87,34.4,35.06,33.11
Expenses,21.46,25.03,27.85,28.93,34.51,38.39,39.79,43.33,42.92,41.37,38.4,38.86,36.41
Operating Profit,-1.16,1.13,4.76,2.4,2.09,2.23,1.79,-0.36,-5.13,-5.5,-4.0,-3.8,-3.3
OPM %,-5.71,4.32,14.6,7.66,5.71,5.49,4.3,-0.84,-13.58,-15.33,-11.63,-10.84,-9.97
Other Income,0.02,0.02,0.05,0.01,0.02,0.01,0.07,0.1,0.02,0.24,0.27,0.04,0.04
Interest,0.66,0.85,0.49,0.69,0.68,0.91,0.49,0.79,1.0,0.79,1.16,1.02,1.33
Depreciation,0.4,0.4,0.4,0.35,0.38,0.38,0.38,0.41,0.41,0.42,0.49,0.46,0.49
Profit before tax,-2.2,-0.1,3.92,1.37,1.05,0.95,0.99,-1.46,-6.52,-6.47,-5.38,-5.24,-5.08
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-2.2,-0.1,3.91,1.37,1.05,0.95,0.99,-1.45,-6.52,-6.47,-5.39,-5.25,-5.08
EPS in Rs,-6.6,-0.3,11.73,4.11,3.15,2.85,2.97,-4.35,-19.56,-19.41,-16.17,-15.75,-15.24
