,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,103.6,150.99,182.75,162.22,113.55,168.42,157.31,159.86,143.66,157.61,204.48,117.21,79.02
Expenses,102.43,137.16,170.66,153.45,108.7,159.13,150.85,153.91,136.96,150.63,190.57,118.25,87.11
Operating Profit,1.17,13.83,12.09,8.77,4.85,9.29,6.46,5.95,6.7,6.98,13.91,-1.04,-8.09
OPM %,1.13,9.16,6.62,5.41,4.27,5.52,4.11,3.72,4.66,4.43,6.8,-0.89,-10.24
Other Income,0.64,0.48,2.03,1.61,0.21,2.03,1.45,1.31,1.2,1.61,1.02,1.48,1.46
Interest,8.7,6.82,6.56,6.81,4.39,5.67,4.69,5.32,6.77,5.53,5.27,4.35,3.35
Depreciation,3.72,3.94,3.98,4.18,3.01,4.56,2.51,1.26,2.4,2.35,1.77,1.42,1.10
Profit before tax,-10.61,3.55,3.58,-0.61,-2.34,1.09,0.71,0.68,-1.27,0.71,7.89,-5.33,-11.08
Tax %,26.96,0.0,27.09,26.23,10.26,4.59,0.0,80.88,23.62,23.94,25.35,37.71,
Net Profit,-7.74,3.54,2.61,-0.44,-2.1,1.04,0.71,0.13,-0.97,0.53,5.89,-3.33,-7.84
EPS in Rs,-18.0,8.23,6.07,-1.02,-4.88,2.42,1.65,0.3,-2.26,1.23,13.7,-7.74,-18.24
