,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,55.0,66.0,87.0,48.0,77.0,93.0,113.0,119.0,134.0,116.0,123.0,124.0,106.0
Expenses,52.0,56.0,75.0,43.0,70.0,83.0,103.0,103.0,110.0,91.0,109.0,101.0,90.0
Operating Profit,3.0,10.0,11.0,5.0,7.0,10.0,10.0,16.0,24.0,25.0,15.0,23.0,15.0
OPM %,5.0,16.0,13.0,10.0,9.0,11.0,9.0,13.0,18.0,22.0,12.0,18.0,14.0
Other Income,1.0,2.0,1.0,3.0,4.0,3.0,8.0,4.0,3.0,-6.0,8.0,4.0,8.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,3.0,11.0,11.0,6.0,10.0,11.0,17.0,18.0,26.0,18.0,21.0,25.0,22.0
Tax %,39.0,30.0,28.0,24.0,29.0,37.0,-5.0,15.0,18.0,30.0,23.0,21.0,32.0
Net Profit,2.0,8.0,8.0,5.0,7.0,7.0,18.0,15.0,21.0,13.0,16.0,20.0,15.0
EPS in Rs,1.02,5.02,5.01,3.08,4.37,4.61,11.41,9.79,13.58,8.16,10.54,12.65,9.73
