,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.0,31.0,27.0,35.0,30.0,38.0,66.0,64.0,51.0,55.0,67.0,59.0,55
Expenses,23.0,22.0,19.0,22.0,22.0,29.0,47.0,49.0,40.0,40.0,47.0,43.0,44
Operating Profit,10.0,10.0,8.0,13.0,8.0,9.0,19.0,15.0,12.0,15.0,19.0,16.0,12
OPM %,32.0,31.0,28.0,38.0,28.0,24.0,29.0,24.0,22.0,27.0,29.0,28.0,21
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Interest,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,8.0,8.0,6.0,11.0,6.0,8.0,16.0,13.0,10.0,14.0,18.0,15.0,14
Tax %,34.0,33.0,33.0,35.0,34.0,33.0,30.0,34.0,26.0,26.0,27.0,26.0,
Net Profit,6.0,5.0,4.0,7.0,4.0,5.0,11.0,9.0,7.0,11.0,14.0,11.0,10
EPS in Rs,3.59,3.67,2.87,5.52,3.37,3.32,7.53,5.96,4.71,7.0,9.15,7.42,6.85
