,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.6,12.99,8.94,3.17,4.85,2.54,1.53,2.43,0.28,0.1,0.58,0.01,0.01
Expenses,30.16,13.35,18.04,4.07,5.12,3.49,7.06,3.98,1.16,1.62,2.55,0.84,5.71
Operating Profit,-5.56,-0.36,-9.1,-0.9,-0.27,-0.95,-5.53,-1.55,-0.88,-1.52,-1.97,-0.83,-5.7
OPM %,-22.6,-2.77,-101.79,-28.39,-5.57,-37.4,-361.44,-63.79,-314.29,-1520.0,-339.66,-8300.0,-57000.0
Other Income,-84.64,-20.31,6.6,0.04,5.86,-0.22,-0.04,0.04,0.05,0.08,2.14,0.0,0.0
Interest,3.47,5.38,0.58,0.05,-0.13,0.06,0.1,0.0,0.0,0.01,0.0,0.0,0.0
Depreciation,0.82,0.83,0.54,0.75,0.75,0.25,1.02,0.65,0.3,0.3,1.27,0.63,0.63
Profit before tax,-94.49,-26.88,-3.62,-1.66,4.97,-1.48,-6.69,-2.16,-1.13,-1.75,-1.1,-1.46,-6.33
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,126.16,0.0,0.0,0.0,173.64,0.0,0.0
Net Profit,-94.49,-26.88,-3.62,-1.66,4.97,-1.48,1.75,-2.16,-1.13,-1.75,0.81,-1.46,-6.33
EPS in Rs,-6.25,-1.78,-0.24,-0.11,0.33,-0.1,0.12,-0.14,-0.07,-0.12,0.05,-0.1,-0.42
