,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.05,8.14,37.86,44.47,33.23,37.67,37.49,45.99,14.86,4.68,7.61,4.63,2.76
Expenses,9.0,6.88,34.85,41.13,31.24,34.0,34.01,42.74,15.97,7.7,6.71,4.47,2.45
Operating Profit,1.05,1.26,3.01,3.34,1.99,3.67,3.48,3.25,-1.11,-3.02,0.9,0.16,0.31
OPM %,10.45,15.48,7.95,7.51,5.99,9.74,9.28,7.07,-7.47,-64.53,11.83,3.46,11.23
Other Income,0.17,0.05,0.04,0.05,0.06,0.05,0.11,0.03,0.03,1.36,0.55,0.38,0.35
Interest,0.04,0.37,1.35,1.8,1.77,1.7,1.55,1.24,1.11,0.83,0.54,0.27,0.23
Depreciation,0.48,0.61,1.18,2.03,1.98,1.97,2.01,1.88,1.81,1.55,0.74,0.33,0.59
Profit before tax,0.7,0.33,0.52,-0.44,-1.7,0.05,0.03,0.16,-4.0,-4.04,0.17,-0.06,-0.16
Tax %,10.0,48.48,53.85,95.45,30.59,-160.0,200.0,68.75,-3.0,3.96,-64.71,-116.67,
Net Profit,0.63,0.16,0.23,-0.02,-1.18,0.13,-0.03,0.05,-4.12,-3.88,0.28,-0.12,-0.16
EPS in Rs,1.27,0.32,0.47,-0.04,-2.39,0.26,-0.06,0.1,-8.33,-7.85,0.57,-0.24,-0.31
