,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,61.28,68.85,76.22,64.24,68.9,80.83,81.24,89.0,86.78,87.29,91.77,93.17,85.36
Expenses,55.74,66.03,73.23,64.61,68.37,81.17,78.57,89.33,88.61,87.92,87.32,86.89,80.27
Operating Profit,5.54,2.82,2.99,-0.37,0.53,-0.34,2.67,-0.33,-1.83,-0.63,4.45,6.28,5.09
OPM %,9.04,4.1,3.92,-0.58,0.77,-0.42,3.29,-0.37,-2.11,-0.72,4.85,6.74,5.96
Other Income,0.02,0.33,0.76,0.78,0.71,0.7,3.26,1.58,0.38,0.39,0.42,0.39,0.86
Interest,0.25,0.31,0.24,0.29,0.38,0.49,0.65,0.75,0.82,1.11,1.04,1.01,0.88
Depreciation,1.3,1.52,1.43,1.43,1.47,1.48,1.61,1.47,1.49,1.53,1.62,1.54,1.59
Profit before tax,4.01,1.32,2.08,-1.31,-0.61,-1.61,3.67,-0.97,-3.76,-2.88,2.21,4.12,3.48
Tax %,-7.23,-299.24,13.94,0.0,9.84,0.0,2.72,54.64,3.19,0.69,2.26,14.81,18.1
Net Profit,4.29,5.27,1.79,-1.32,-0.55,-1.62,3.57,-0.44,-3.64,-2.86,2.16,3.5,2.86
EPS in Rs,10.9,13.39,4.55,-3.35,-1.4,-4.12,9.07,-1.12,-9.25,-7.27,5.49,8.9,7.27
