,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,36.15,39.8,38.98,39.94,43.04,47.52,45.66,43.88,56.34,54.59,54.8,51.49,55.75
Expenses,35.09,38.67,37.86,38.64,41.65,46.19,44.36,42.62,55.03,53.1,53.5,50.13,54.27
Operating Profit,1.06,1.13,1.12,1.3,1.39,1.33,1.3,1.26,1.31,1.49,1.3,1.36,1.48
OPM %,2.93,2.84,2.87,3.25,3.23,2.8,2.85,2.87,2.33,2.73,2.37,2.64,2.65
Other Income,0.09,0.09,0.32,0.05,0.04,0.11,0.19,0.06,0.11,0.16,0.13,0.09,0.11
Interest,0.58,0.64,0.7,0.57,0.58,0.62,0.83,0.7,0.74,0.78,0.85,0.8,0.76
Depreciation,0.4,0.43,0.43,0.42,0.42,0.41,0.43,0.41,0.42,0.43,0.43,0.4,0.42
Profit before tax,0.17,0.15,0.31,0.36,0.43,0.41,0.23,0.21,0.26,0.44,0.15,0.25,0.41
Tax %,23.53,0.0,41.94,11.11,13.95,56.1,21.74,28.57,-23.08,36.36,20.0,24.0,24.39
Net Profit,0.12,0.15,0.18,0.33,0.37,0.19,0.17,0.15,0.32,0.27,0.13,0.18,0.31
EPS in Rs,0.4,0.5,0.6,1.1,1.23,0.63,0.57,0.5,1.07,0.9,0.43,0.6,1.03
