,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.76,7.54,8.04,8.04,8.99,12.39,12.39,12.39,12.39,12.39,12.39,12.39,12.39
Reserves,7.7,8.05,8.03,8.84,9.4,10.88,11.52,12.62,13.66,12.22,10.35,10.4,10.59
Preference Capital,0.96,0.96,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,16.06,19.03,18.1,18.01,21.19,24.27,27.99,30.45,32.83,40.2,12.68,12.09,12.88
Other Liabilities,16.66,10.85,14.9,12.32,15.12,16.42,12.94,16.16,14.05,7.29,8.56,6.07,5.16
Total Liabilities,47.18,45.47,49.07,47.21,54.7,63.96,64.84,71.62,72.93,72.1,43.98,40.95,41.02
Fixed Assets,14.4,14.29,13.57,13.02,13.01,15.22,19.69,21.24,20.44,19.21,10.89,10.52,11.19
CWIP,0.0,0.0,0.0,0.0,0.23,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.05,0.31,0.05,0.59,0.09,0.02,0.0,0.0,0.0
Other Assets,32.78,31.18,35.5,34.19,41.41,47.94,45.1,49.79,52.4,52.87,33.09,30.43,29.83
Total Assets,47.18,45.47,49.07,47.21,54.7,63.96,64.84,71.62,72.93,72.1,43.98,40.95,41.02
