,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,55.52,49.37,66.15,55.71,58.23,43.33,63.69,54.28,63.2,51.02,58.11,47.77,61.25
Expenses,51.8,46.22,59.55,51.86,54.98,39.49,59.77,50.39,59.21,47.08,53.35,43.86,56.84
Operating Profit,3.72,3.15,6.6,3.85,3.25,3.84,3.92,3.89,3.99,3.94,4.76,3.91,4.41
OPM %,6.7,6.38,9.98,6.91,5.58,8.86,6.15,7.17,6.31,7.72,8.19,8.19,7.2
Other Income,0.18,0.22,0.56,0.26,0.39,0.1,1.81,0.28,0.55,0.2,1.41,0.33,0.34
Interest,1.35,0.79,2.01,0.95,0.66,1.32,1.04,1.05,0.82,1.14,1.46,0.95,0.91
Depreciation,1.56,1.42,1.48,1.5,1.35,1.71,1.7,1.68,1.57,1.54,1.89,1.72,1.75
Profit before tax,0.99,1.16,3.67,1.66,1.63,0.91,2.99,1.44,2.15,1.46,2.82,1.57,2.09
Tax %,28.28,28.45,17.71,25.9,28.83,27.47,48.83,29.17,-0.93,26.03,26.6,26.75,22.97
Net Profit,0.71,0.83,3.02,1.22,1.16,0.66,1.53,1.02,2.17,1.08,2.07,1.14,1.6
EPS in Rs,0.07,0.08,0.28,0.11,0.11,0.06,0.14,0.09,0.2,0.1,0.19,0.11,0.15
