,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1374.0,1577.0,1722.0,1453.0,1946.0,2030.0,2301.0,1839.0,1984.0,2021.0,2151.0,1875.0,1916.0
Expenses,1275.0,1462.0,1602.0,1361.0,1845.0,1932.0,2149.0,1770.0,1855.0,1858.0,1899.0,1761.0,1778.0
Operating Profit,99.0,116.0,120.0,92.0,101.0,98.0,152.0,70.0,129.0,163.0,252.0,114.0,137.0
OPM %,7.0,7.0,7.0,6.0,5.0,5.0,7.0,4.0,7.0,8.0,12.0,6.0,7.0
Other Income,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Interest,17.0,16.0,16.0,17.0,15.0,17.0,15.0,13.0,11.0,11.0,10.0,6.0,6.0
Depreciation,27.0,27.0,28.0,25.0,27.0,28.0,28.0,28.0,29.0,30.0,29.0,29.0,29.0
Profit before tax,56.0,74.0,77.0,51.0,60.0,54.0,111.0,30.0,91.0,123.0,215.0,81.0,103.0
Tax %,27.0,25.0,25.0,27.0,26.0,26.0,26.0,26.0,25.0,27.0,28.0,27.0,27.0
Net Profit,41.0,55.0,58.0,37.0,44.0,40.0,82.0,22.0,68.0,90.0,156.0,59.0,76.0
EPS in Rs,3.8,5.09,5.36,3.43,4.07,3.72,7.58,2.03,6.25,8.24,14.3,5.43,6.97
