,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.24,17.47,13.65,10.27,12.01,15.37,15.18,17.96,12.78,11.84,10.55,11.28,10.59
Expenses,9.2,15.36,11.97,10.43,11.18,14.04,14.03,16.98,14.47,12.64,12.63,12.18,11.51
Operating Profit,0.04,2.11,1.68,-0.16,0.83,1.33,1.15,0.98,-1.69,-0.8,-2.08,-0.9,-0.92
OPM %,0.43,12.08,12.31,-1.56,6.91,8.65,7.58,5.46,-13.22,-6.76,-19.72,-7.98,-8.69
Other Income,0.06,-0.04,0.39,0.46,0.39,0.35,0.4,4.3,0.41,1.74,0.47,0.28,2.98
Interest,0.63,0.23,0.44,0.42,0.39,0.4,0.32,0.12,0.6,0.57,0.65,0.47,0.31
Depreciation,0.41,0.47,0.44,0.44,0.44,0.43,0.41,0.42,0.42,0.34,0.41,0.41,0.41
Profit before tax,-0.94,1.37,1.19,-0.56,0.39,0.85,0.82,4.74,-2.3,0.03,-2.67,-1.5,1.34
Tax %,0.0,0.0,162.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
Net Profit,-0.95,1.37,-0.74,-0.56,0.39,0.85,0.82,4.74,-2.31,0.03,-2.71,-1.5,1.34
EPS in Rs,-1.94,2.79,-1.51,-1.14,0.79,1.73,1.67,9.66,-4.71,0.06,-5.52,-3.06,2.73
