,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19
Reserves,0.58,3.01,3.01,2.99,3.02,3.03,3.03,3.01,3.13,3.28,3.32
Borrowings,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.14,0.04,0.02,0.06,0.05,0.05,0.01,0.01,0.02,0.04,0.03
Total Liabilities,1.89,4.24,4.22,4.24,4.26,4.27,4.23,4.21,4.34,4.51,4.54
Fixed Assets,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0
Other Assets,1.89,4.22,4.21,4.22,4.24,4.26,4.22,4.21,4.34,4.51,4.54
Total Assets,1.89,4.24,4.22,4.24,4.26,4.27,4.23,4.21,4.34,4.51,4.54
