,2014-11-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96,30.96
Reserves,-28.21,-28.15,-28.02,-27.87,-27.72,-27.58,-27.52,-27.53,-27.47,-27.46,-27.45
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.3,0.19,0.27,0.36,0.43,0.5,0.54,0.32,0.37,0.37,0.38
Total Liabilities,3.05,3.0,3.21,3.45,3.67,3.88,3.98,3.75,3.86,3.87,3.89
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.05,3.0,2.72,3.45,3.67,3.88,3.98,3.75,3.86,3.87,3.89
Total Assets,3.05,3.0,3.21,3.45,3.67,3.88,3.98,3.75,3.86,3.87,3.89
