,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.11,0.1,1.87,0.00,0.21,0.38,0.46,2.52,0.71,0.49,-0.15,1.36,1.23
Expenses,0.15,0.18,2.57,0.12,0.35,0.46,0.65,2.04,0.71,0.46,0.57,1.33,1.08
Operating Profit,-0.04,-0.08,-0.7,-0.12,-0.14,-0.08,-0.19,0.48,0.0,0.03,-0.72,0.03,0.15
OPM %,-36.36,-80.0,-37.43,,-66.67,-21.05,-41.3,19.05,0.0,6.12,,2.21,12.2
Other Income,0.11,0.14,0.64,0.14,0.4,0.3,-0.12,0.22,0.11,0.0,0.02,0.12,0.03
Interest,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
Depreciation,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
Profit before tax,0.07,0.06,-0.06,0.02,0.26,0.22,-0.31,0.7,0.11,0.03,-0.70,0.15,0.18
Tax %,28.57,33.33,16.67,0.00,26.92,22.73,25.81,25.71,27.27,100.0,-25.71,26.67,-27.78
Net Profit,0.05,0.05,-0.04,0.01,0.19,0.17,-0.23,0.52,0.08,0.0,-0.88,0.11,0.22
EPS in Rs,0.02,0.02,-0.01,0.00,0.06,0.05,-0.07,0.17,0.03,0.0,-0.28,0.04,0.07
