,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,50.0,50.0,39.0,37.0,34.0,42.0,54.0,56.0,51.0,55.0,89.0,73.0,75
Expenses,31.0,32.0,24.0,21.0,22.0,24.0,37.0,41.0,43.0,50.0,63.0,69.0,61
Operating Profit,19.0,18.0,14.0,16.0,12.0,18.0,17.0,15.0,9.0,5.0,26.0,4.0,14
OPM %,39.0,36.0,37.0,43.0,35.0,43.0,32.0,27.0,17.0,9.0,29.0,6.0,18
Other Income,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4
Interest,17.0,14.0,11.0,13.0,12.0,13.0,9.0,13.0,10.0,4.0,3.0,3.0,3
Depreciation,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1
Profit before tax,2.0,3.0,3.0,1.0,-1.0,6.0,9.0,-3.0,-5.0,1.0,23.0,6.0,14
Tax %,34.0,33.0,32.0,16.0,-56.0,30.0,29.0,-12.0,2.0,-23.0,25.0,12.0,
Net Profit,1.0,2.0,2.0,1.0,-1.0,4.0,6.0,-3.0,-4.0,1.0,18.0,5.0,12
EPS in Rs,1.04,1.68,1.49,0.9,-0.69,3.04,4.92,-2.26,-3.43,1.02,13.48,3.91,8.89
