,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,19.86
Reserves,-14.06,-18.81,-23.61,-24.13,-25.43,-27.86,-29.09,-29.63,-30.11,-34.57,-34.97,-36.38,-36.66
Borrowings,0.31,0.0,0.4,0.0,0.0,0.0,0.51,0.92,1.32,11.67,12.02,12.91,13.11
Other Liabilities,2.13,15.49,15.52,15.27,15.21,16.25,16.01,16.0,16.03,10.03,10.03,10.02,10.02
Total Liabilities,7.34,15.64,11.27,10.1,8.74,7.35,6.39,6.25,6.2,6.09,6.04,5.51,5.43
Fixed Assets,4.73,4.5600000000000005,4.34,4.61,3.98,3.87,3.77,3.7,3.65,3.6,3.55,3.51,3.49
CWIP,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.38,0.38,0.38,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,2.12,10.59,6.55,5.11,4.38,3.48,2.62,2.55,2.55,2.49,2.49,2.0,1.94
Total Assets,7.34,15.64,11.27,10.1,8.74,7.35,6.39,6.25,6.2,6.09,6.04,5.51,5.43
