,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
Reserves,2.02,3.76,7.24,9.29,8.21,8.39,4.54,3.39,3.19,2.59,2.52
Borrowings,2.8200000000000003,2.12,1.8,1.96,1.27,0.42,0.0,0.0,0.0,0.0,0.0
Other Liabilities,25.94,20.18,24.82,37.18,37.74,35.37,2.88,2.58,1.75,2.16,2.06
Total Liabilities,38.04,33.32,41.12,55.69,54.48,51.44,14.68,13.23,12.2,12.01,11.84
Fixed Assets,1.21,2.74,3.14,2.38,2.24,2.1,1.96,0.25,0.04,0.02,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,36.83,28.58,35.98,51.31,52.24,49.34,12.72,12.98,12.16,11.99,11.84
Total Assets,38.04,33.32,41.12,55.69,54.48,51.44,14.68,13.23,12.2,12.01,11.84
