,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,38940.0,41935.0,50028.0,53465.0,60387.0,60783.0,69324.0,63430.0,59878.0,57084.0,62962.0,59490.0,55682.0
Expenses,32727.0,32367.0,35844.0,37355.0,43931.0,44889.0,54294.0,48457.0,53817.0,53036.0,55742.0,54587.0,51414.0
Operating Profit,6213.0,9568.0,14184.0,16111.0,16456.0,15894.0,15030.0,14973.0,6060.0,4048.0,7219.0,4903.0,4268.0
OPM %,16.0,23.0,28.0,30.0,27.0,26.0,22.0,24.0,10.0,7.0,11.0,8.0,8.0
Other Income,335.0,152.0,-569.0,102.0,972.0,48.0,177.0,388.0,412.0,491.0,277.0,1190.0,-6568.0
Interest,1948.0,1786.0,1866.0,1811.0,1020.0,1532.0,1099.0,1218.0,1519.0,1768.0,1794.0,1825.0,1959.0
Depreciation,2325.0,2342.0,2392.0,2325.0,2289.0,2244.0,2243.0,2237.0,2348.0,2368.0,2382.0,2412.0,2480.0
Profit before tax,2274.0,5593.0,9357.0,12077.0,14120.0,12166.0,11865.0,11906.0,2605.0,403.0,3321.0,1855.0,-6739.0
Tax %,27.0,28.0,23.0,19.0,11.0,21.0,17.0,35.0,50.0,721.0,53.0,72.0,3.0
Net Profit,1665.0,4011.0,7162.0,9768.0,12548.0,9598.0,9835.0,7714.0,1297.0,-2502.0,1566.0,525.0,-6511.0
EPS in Rs,1.39,3.28,5.55,7.41,9.91,7.84,7.99,6.36,1.24,-1.82,1.39,0.52,-5.07
