,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,257.0,248.0,215.0,189.0,274.0,298.0,305.0,145.0,186.0,185.0,313.0,274.0,462.0
Expenses,182.0,170.0,196.0,134.0,188.0,257.0,268.0,123.0,153.0,162.0,306.0,253.0,385.0
Operating Profit,75.0,77.0,19.0,55.0,85.0,40.0,37.0,22.0,32.0,23.0,7.0,21.0,78.0
OPM %,29.0,31.0,9.0,29.0,31.0,14.0,12.0,15.0,17.0,13.0,2.0,8.0,17.0
Other Income,34.0,11.0,8.0,17.0,10.0,113.0,-0.0,28.0,42.0,20.0,78.0,29.0,29.0
Interest,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,4.0
Depreciation,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profit before tax,97.0,76.0,15.0,60.0,84.0,150.0,33.0,48.0,71.0,40.0,77.0,44.0,101.0
Tax %,18.0,25.0,13.0,24.0,25.0,24.0,-13.0,25.0,17.0,21.0,21.0,42.0,27.0
Net Profit,80.0,56.0,9.0,47.0,65.0,115.0,37.0,36.0,59.0,31.0,61.0,25.0,74.0
EPS in Rs,7.3,5.09,0.85,4.28,5.89,10.44,3.38,3.23,5.35,2.9,5.65,2.35,6.86
