,Mar 2007,Mar 2008,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.91,32.36,119.57,89.55,129.31,129.07,140.75,118.66,71.45,73.18,93.16,80.85
Expenses,32.59,30.20,113.03,83.41,123.35,123.77,135.03,122.69,77.85,75.93,92.57,82.17
Operating Profit,-0.68,2.16,6.54,6.14,5.96,5.3,5.72,-4.03,-6.4,-2.75,0.59,-1.32
OPM %,-2.13,6.67,5.47,6.86,4.61,4.11,4.06,-3.4,-8.96,-3.76,0.63,-1.63
Other Income,5.24,3.62,0.98,0.72,1.61,1.28,0.94,10.67,17.14,15.32,4.73,7.19
Interest,1.91,2.84,4.94,4.12,4.0,3.77,3.76,3.9,3.49,1.57,2.57,2.67
Depreciation,2.64,2.52,1.76,1.85,1.76,1.6,1.65,1.48,1.93,1.58,1.66,1.63
Profit before tax,0.01,0.42,0.82,0.89,1.81,1.21,1.25,1.26,5.32,9.42,1.09,1.57
Tax %,1400.00,35.71,26.83,-21.35,22.1,27.27,6.4,-11.9,19.36,0.21,-20.18,
Net Profit,-0.13,0.27,0.79,1.08,2.32,-0.08,3.1,2.75,7.83,9.4,1.32,2.60
EPS in Rs,,,1.15,1.57,3.37,-0.12,4.51,4.0,11.38,13.66,1.92,3.78
