,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,41.0,69.0,64.0,70.0,53.0,91.0,112.0,96.0,83.0,91.0,100.0,91
Expenses,28.0,39.0,67.0,62.0,67.0,50.0,86.0,107.0,90.0,78.0,86.0,101.0,93
Operating Profit,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,-2.0,-2
OPM %,7.0,5.0,3.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,6.0,-2.0,-2
Other Income,0.0,14.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0
Interest,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,5
Depreciation,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5
Profit before tax,1.0,15.0,1.0,14.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,-11.0,-12
Tax %,0.0,0.0,0.0,3.0,16.0,21.0,28.0,25.0,24.0,27.0,27.0,1.0,
Net Profit,1.0,15.0,1.0,14.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,-11.0,-11
EPS in Rs,0.85,15.11,0.56,14.21,1.06,1.37,3.66,3.02,3.77,2.66,1.55,-13.06,-13.77
