,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
Reserves,2.68,4.34,5.11,1.65,-1.81,-0.97,-2.13,-1.88,-1.51,-3.33,-5.58,-8.84,-12.01
Borrowings,7.83,9.98,12.14,12.18,10.75,6.23,5.68,3.49,2.58,8.98,10.95,14.14,15.79
Other Liabilities,11.01,10.93,9.7,10.01,8.55,12.99,12.2,12.29,15.45,7.87,8.72,7.66,6.54
Total Liabilities,25.04,28.77,30.47,27.36,21.01,21.77,19.27,17.42,20.04,17.04,17.61,16.48,13.84
Fixed Assets,1.55,1.87,2.08,1.3,1.06,1.0,0.92,0.6900000000000001,0.51,0.42,0.25,1.35,0.99
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.07,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.51
Other Assets,23.42,26.88,28.37,26.04,19.92,20.74,18.31,16.71,19.52,16.61,17.35,15.12,12.34
Total Assets,25.04,28.77,30.47,27.36,21.01,21.77,19.27,17.42,20.04,17.04,17.61,16.48,13.84
