,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,2,3,3,3,3,3,3,3,4,11,11,11
Reserves,25,49,50,48,46,52,62,74,98,125,154,186,209
Borrowings,22,26,31,37,39,41,34,31,36,18,38,45,49
Other Liabilities,36,41,50,60,54,41,54,60,79,94,98,121,125
Total Liabilities,84,118,135,148,143,138,153,169,216,240,301,362,393
Fixed Assets,16,23,33,31,30,29,32,34,32,46,66,112,111
CWIP,1,0,1,0,0,1,1,0,0,1,1,2,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,67,95,101,116,112,108,119,135,184,193,234,249,280
Total Assets,84,118,135,148,143,138,153,169,216,240,301,362,393
