,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,16.0,31.0,28.0,28.0,29.0,44.0,34.0,34.0,50.0,51.0,52.0,53.0,61.0
Expenses,7.0,13.0,9.0,9.0,11.0,16.0,14.0,12.0,22.0,25.0,26.0,18.0,11.0
Operating Profit,9.0,19.0,19.0,19.0,18.0,28.0,20.0,22.0,27.0,26.0,26.0,35.0,50.0
OPM %,57.0,59.0,69.0,66.0,61.0,63.0,60.0,66.0,55.0,51.0,51.0,67.0,82.0
Other Income,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Profit before tax,10.0,19.0,22.0,19.0,18.0,28.0,21.0,23.0,28.0,27.0,28.0,36.0,53.0
Tax %,29.0,36.0,16.0,25.0,39.0,24.0,25.0,25.0,25.0,25.0,34.0,25.0,25.0
Net Profit,7.0,12.0,18.0,15.0,11.0,22.0,16.0,17.0,21.0,20.0,18.0,27.0,40.0
EPS in Rs,0.52,0.96,1.41,1.12,0.87,1.66,1.23,1.32,1.61,1.56,1.43,2.11,3.09
