,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,15,15,15,15,14,14,14,14,13,13,13,13
Reserves,69,72,54,55,55,54,55,56,66,88,89,123,170
Borrowings,40,99,133,106,89,64,36,8,2,0,0,0,4
Other Liabilities,55,29,38,4,15,3,97,15,8,49,44,57,38
Total Liabilities,179,216,240,180,174,135,202,95,90,150,147,193,225
Fixed Assets,29,31,30,28,26,25,23,15,15,15,7,5,7
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,6,18,5,13,49
Other Assets,150,184,211,153,148,111,179,79,70,117,135,174,169
Total Assets,179,216,240,180,174,135,202,95,90,150,147,193,225
