,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Expenses,0.12,0.15,0.21,0.15,0.15,0.11,0.15,0.14,0.15,0.11,0.72,0.11,0.06
Operating Profit,-0.12,-0.15,-0.2,-0.15,-0.15,-0.11,-0.15,-0.14,-0.14,-0.11,-0.72,-0.11,-0.06
OPM %,,,-2000.0,,,,,,-1400.0,,,,
Other Income,3.25,0.94,1.02,1.07,0.43,0.99,0.28,0.20,0.11,5.96,1.67,0.34,0.36
Interest,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.0,0.00,0.00,0.00,0.00
Profit before tax,3.12,0.78,0.81,0.91,0.27,0.87,0.12,0.06,-0.03,5.85,0.95,0.23,0.30
Tax %,0.00,0.00,122.22,0.00,70.37,0.00,16.67,0.00,0.0,11.11,31.58,0.00,0.00
Net Profit,3.12,0.78,-0.18,0.91,0.08,0.87,0.11,0.05,-0.03,5.20,0.65,0.23,0.30
EPS in Rs,4.28,1.07,-0.25,1.25,0.11,1.19,0.15,0.07,-0.04,7.14,0.89,0.32,0.41
