,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,65.77,65.77,75.77,75.77,75.77,75.77,75.77,75.77,75.77,75.77,75.77,75.77
Reserves,245.12,256.17,130.2,115.62,98.67,-16.9,-23.34,-32.13,-43.1,-53.53,-58.39,-64.4
Borrowings,20.76,22.46,13.06,14.43,15.28,16.01,9.84,9.14,10.33,11.33,12.01,13.11
Other Liabilities,34.06,24.22,139.32,137.95,123.27,123.18,124.28,123.77,123.75,123.31,117.71,117.87
Total Liabilities,365.71,368.62,358.35,343.77,312.99,198.06,186.55,176.55,166.75,156.88,147.1,142.35
Fixed Assets,106.82,197.8,180.58,163.4,140.95,61.16,50.97,41.1,31.2,21.32,11.4,6.45
CWIP,0.23,0.29,0.29,0.29,0.29,2.04,1.87,1.87,1.87,1.87,1.87,1.87
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Other Assets,258.66,170.53,177.48,180.08,171.75,134.86,133.71,133.58,133.68,133.69,133.73,133.93
Total Assets,365.71,368.62,358.35,343.77,312.99,198.06,186.55,176.55,166.75,156.88,147.1,142.35
