,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,19,19,19,19,19,19,19,19
Reserves,0,1169,1254,1457,1715,2293,3052,3931,4405
Borrowings,0,851,776,611,414,1972,871,726,821
Other Liabilities,0,1097,1263,1263,932,4349,4932,5543,7039
Total Liabilities,0,3135,3312,3349,3080,8634,8874,10220,12284
Fixed Assets,0,1306,1358,1429,1515,3426,3324,3593,4278
CWIP,0,34,90,69,58,152,128,191,209
Investments,0,202,134,132,186,369,542,729,1630
Other Assets,0,1593,1730,1719,1321,4687,4880,5707,6168
Total Assets,0,3135,3312,3349,3080,8634,8874,10220,12284
