,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.28,8.82,6.55,6.9,15.94,13.89,21.10
Expenses,15.57,8.75,6.48,6.82,15.76,13.66,20.45
Operating Profit,0.71,0.07,0.07,0.08,0.18,0.23,0.65
OPM %,4.36,0.79,1.07,1.16,1.13,1.66,3.08
Other Income,-0.58,0.0,0.02,0.11,0.41,0.89,1.19
Interest,0.0,0.01,0.01,0.0,0.0,0.0,0.00
Depreciation,0.02,0.04,0.03,0.03,0.03,0.02,0.04
Profit before tax,0.11,0.02,0.05,0.16,0.56,1.1,1.80
Tax %,72.73,50.0,20.0,12.5,7.14,24.55,
Net Profit,0.03,0.02,0.03,0.14,0.52,0.83,1.48
EPS in Rs,0.05,0.02,0.03,0.14,0.51,0.81,1.44
