,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,276.0,342.0,289.0,344.0,380.0,309.0,301.0,293.0,435.0,295.0,301.0,468.0,404.0
Expenses,120.0,151.0,126.0,145.0,147.0,149.0,196.0,191.0,165.0,178.0,179.0,168.0,173.0
Operating Profit,156.0,191.0,163.0,199.0,234.0,160.0,105.0,103.0,270.0,117.0,122.0,300.0,232.0
OPM %,57.0,56.0,56.0,58.0,61.0,52.0,35.0,35.0,62.0,40.0,41.0,64.0,57.0
Other Income,2.0,1.0,0.0,2.0,3.0,-0.0,4.0,13.0,4.0,-2.0,8.0,1.0,2.0
Interest,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
Depreciation,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
Profit before tax,147.0,180.0,152.0,190.0,225.0,148.0,97.0,104.0,262.0,103.0,117.0,288.0,220.0
Tax %,19.0,22.0,12.0,18.0,12.0,14.0,45.0,12.0,23.0,41.0,27.0,19.0,17.0
Net Profit,119.0,140.0,134.0,155.0,199.0,127.0,54.0,92.0,202.0,60.0,86.0,234.0,183.0
EPS in Rs,9.36,11.06,10.56,12.23,15.67,9.97,4.25,7.21,15.73,4.76,6.75,18.46,14.39
