,2007-03-01,2008-03-01,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,50,125,125,125,127,127,127,127,127,127,127,127
Reserves,417,445,743,855,1789,2161,2478,2646,3125,3493,3741,3848
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,185,209,218,202,205,262,409,393,398,363,307,784
Total Liabilities,651,779,1086,1182,2121,2550,3013,3165,3650,3983,4175,4759
Fixed Assets,108,164,208,201,278,273,351,373,360,357,368,392
CWIP,2,0,0,0,3,5,1,1,5,8,9,5
Investments,315,391,646,720,1543,1932,2261,2356,2747,2994,3248,3890
Other Assets,227,223,232,260,297,339,400,436,539,623,550,472
Total Assets,651,779,1086,1182,2121,2550,3013,3165,3650,3983,4175,4759
