,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.38,0.12,6.84,0.15,0.13,5.87,13.15,11.4,4.46,2.14,-0.01,0.04,0.04
Expenses,0.47,0.22,7.12,0.31,0.22,5.36,11.69,10.27,4.31,1.72,0.23,0.16,0.16
Operating Profit,-0.09,-0.1,-0.28,-0.16,-0.09,0.51,1.46,1.13,0.15,0.42,-0.24,-0.12,-0.12
OPM %,-23.68,-83.33,-4.09,-106.67,-69.23,8.69,11.1,9.91,3.36,19.63,-312.5,-300.0,-300.00
Other Income,0.0,0.12,0.3,0.03,0.01,0.27,0.05,0.01,0.01,0.03,0.06,0.03,-0.08
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.00
Profit before tax,-0.09,0.02,0.02,-0.13,-0.08,0.78,1.49,1.13,0.15,0.44,-0.21,-0.09,-0.20
Tax %,0.0,0.0,0.0,0.0,0.0,19.23,28.19,29.2,26.67,27.27,0.0,0.0,
Net Profit,-0.09,0.01,0.02,-0.13,-0.08,0.63,1.07,0.79,0.11,0.32,-0.21,-0.1,-0.21
EPS in Rs,-0.28,0.03,0.06,-0.4,-0.25,0.19,0.32,0.24,0.03,0.1,-0.06,-0.03,-0.06
