,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.44,27.85,28.62,38.25,48.41,56.02,69.43,66.17,57.88
Expenses,20.33,21.79,22.85,31.02,40.32,47.79,61.01,57.39,51.01
Operating Profit,5.11,6.06,5.77,7.23,8.09,8.23,8.42,8.78,6.87
OPM %,20.09,21.76,20.16,18.9,16.71,14.69,12.13,13.27,11.87
Other Income,0.23,0.23,0.17,0.2,0.39,0.59,0.59,0.51,0.60
Interest,1.21,1.07,0.94,1.51,1.51,2.21,2.07,2.38,2.22
Depreciation,1.76,1.74,1.97,2.65,3.02,3.51,3.55,3.92,3.77
Profit before tax,2.37,3.48,3.03,3.27,3.95,3.1,3.39,2.99,1.48
Tax %,32.07,35.63,24.42,34.25,26.84,25.16,22.42,25.08,
Net Profit,1.60,2.24,2.28,2.14,2.89,2.33,2.64,2.24,1.11
EPS in Rs,,,,3.9,5.27,4.25,4.81,4.08,2.03
