,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,8,8,8,8,8,8,8,8,8,8
Reserves,4,4,5,6,7,7,8,9,10,9,11,10,9
Borrowings,17,15,19,22,20,21,29,26,24,22,20,23,21
Other Liabilities,5,6,8,6,6,11,10,9,7,12,10,10,13
Total Liabilities,33,34,41,42,41,47,55,52,48,51,49,51,51
Fixed Assets,18,17,15,20,20,26,28,31,28,25,22,20,21
CWIP,0,0,6,0,0,1,5,0,0,0,0,0,0
Investments,1,1,2,4,4,0,0,0,0,0,0,0,0
Other Assets,15,16,18,17,16,20,22,21,20,26,27,31,30
Total Assets,33,34,41,42,41,47,55,52,48,51,49,51,51
