,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31.33,45.32,59.28,30.84,40.19,37.51,50.19,46.97,50.72,66.56,72.67,54.88,60.21
Expenses,28.48,42.86,52.14,28.12,36.57,36.91,47.82,50.06,50.96,60.34,65.98,56.05,62.42
Operating Profit,2.85,2.46,7.14,2.72,3.62,0.6,2.37,-3.09,-0.24,6.22,6.69,-1.17,-2.21
OPM %,9.1,5.43,12.04,8.82,9.01,1.6,4.72,-6.58,-0.47,9.34,9.21,-2.13,-3.67
Other Income,0.24,0.52,0.17,0.21,0.16,0.28,0.53,0.29,0.28,0.32,0.77,0.44,0.22
Interest,1.66,1.59,1.41,1.28,1.34,1.21,1.26,1.2,1.43,1.51,1.53,2.05,1.77
Depreciation,0.97,0.91,0.93,0.94,0.95,0.95,0.57,0.75,0.78,0.78,0.84,0.88,0.89
Profit before tax,0.46,0.48,4.97,0.71,1.49,-1.28,1.07,-4.75,-2.17,4.25,5.09,-3.66,-4.65
Tax %,28.26,25.0,25.15,36.62,25.5,5.47,-6.54,25.05,25.35,25.88,27.31,25.14,26.45
Net Profit,0.32,0.37,3.76,0.3,1.11,-1.21,1.14,-3.57,-1.62,3.15,3.73,-2.74,-3.42
EPS in Rs,0.2,0.23,2.35,0.19,0.69,-0.76,0.71,-2.23,-1.01,1.97,2.33,-1.71,-2.13
