,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Reserves,1.36,0.97,0.8300000000000001,2.5700000000000003,2.5700000000000003,3.14,3.5700000000000003,3.6,3.26,2.68,3.25,3.68,3.87
Borrowings,4.23,4.04,3.95,3.77,5.0,4.82,2.76,2.33,4.71,4.78,6.05,4.36,5.5
Other Liabilities,0.18,0.3,0.52,0.72,0.28,1.85,3.71,3.3,0.56,0.19,0.42,0.43,0.45
Total Liabilities,8.77,8.31,8.3,10.06,10.85,12.81,13.04,12.23,11.53,10.65,12.72,11.47,12.82
Fixed Assets,3.49,3.28,3.08,5.3,5.31,9.81,9.47,9.11,8.9,7.86,8.77,6.52,6.31
CWIP,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.79,3.79,4.01,4.01,3.52,1.85,1.85,1.85,0.55,0.0,0.0,0.0,0.0
Other Assets,1.49,1.24,1.21,0.75,1.32,1.15,1.72,1.27,2.08,2.79,3.95,4.95,6.51
Total Assets,8.77,8.31,8.3,10.06,10.85,12.81,13.04,12.23,11.53,10.65,12.72,11.47,12.82
