,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2,0.03,0.00
Expenses,0.03,0.05,0.14,0.06,3.97,1.25,0.08,0.13,0.14,0.17,0.11,0.56
Operating Profit,-0.03,-0.05,-0.14,-0.06,-3.97,-1.25,-0.08,-0.13,-0.14,0.03,-0.08,-0.56
OPM %,,,,,,,,,,15.0,-266.67,
Other Income,0.03,0.03,0.03,0.03,0.01,-0.03,0.00,0.00,0.00,0.0,0.0,0.00
Interest,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00
Depreciation,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00
Profit before tax,0.0,-0.02,-0.11,-0.03,-3.96,-1.28,-0.08,-0.13,-0.14,0.03,-0.08,-0.56
Tax %,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00
Net Profit,0.0,-0.02,-0.11,-0.03,-3.96,-1.28,-0.08,-0.13,-0.14,0.03,-0.08,-0.56
EPS in Rs,0.0,-0.01,-0.08,-0.02,-2.76,-0.89,-0.06,-0.09,-0.10,0.02,-0.06,-0.39
