,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.86,1.49,1.05,1.26,1.39,1.14,1.33,2.19,2.59,2.14,2.81,2.77,2.40
Expenses,0.59,0.7,1.02,0.87,1.03,0.99,1.21,1.64,1.85,1.84,2.32,2.32,2.15
Operating Profit,0.27,0.79,0.03,0.39,0.36,0.15,0.12,0.55,0.74,0.3,0.49,0.45,0.25
OPM %,31.4,53.02,2.86,30.95,25.9,13.16,9.02,25.11,28.57,14.02,17.44,16.25,10.42
Other Income,0.01,0.02,0.0,0.0,0.01,0.02,0.13,0.0,0.0,0.02,0.0,0.0,0.17
Interest,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.00
Profit before tax,0.26,0.78,0.01,0.35,0.34,0.13,0.22,0.52,0.72,0.31,0.48,0.44,0.42
Tax %,30.77,-74.36,-500.0,-8.57,20.59,-7.69,63.64,11.54,16.67,38.71,27.08,29.55,
Net Profit,0.18,1.35,0.06,0.37,0.27,0.14,0.08,0.45,0.59,0.19,0.36,0.31,0.30
EPS in Rs,0.4,2.98,0.13,0.82,0.6,0.31,0.18,0.99,1.3,0.42,0.8,0.68,0.66
