,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.22,2.91,2.67,2.52,4.03,2.55,4.23,2.11,2.99,1.78,1.69,3.08,1.29
Expenses,1.77,3.04,4.61,2.65,4.13,2.77,3.65,2.62,2.98,2.41,2.62,3.5,1.95
Operating Profit,-0.55,-0.13,-1.94,-0.13,-0.1,-0.22,0.58,-0.51,0.01,-0.63,-0.93,-0.42,-0.66
OPM %,-45.08,-4.47,-72.66,-5.16,-2.48,-8.63,13.71,-24.17,0.33,-35.39,-55.03,-13.64,-51.16
Other Income,0.03,3.28,0.09,0.0,0.04,0.0,0.21,0.66,0.24,0.08,0.12,0.0,0.07
Interest,0.15,0.14,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.06
Depreciation,0.21,0.15,0.1,0.06,0.06,0.06,0.22,0.1,0.1,0.1,0.09,0.06,0.13
Profit before tax,-0.88,2.86,-1.99,-0.23,-0.16,-0.32,0.51,0.01,0.11,-0.69,-0.94,-0.52,-0.78
Tax %,0.0,54.9,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.87,1.29,-1.66,-0.23,-0.16,-0.31,0.52,0.01,0.11,-0.69,-0.94,-0.52,-0.79
EPS in Rs,-0.65,0.97,-1.25,-0.17,-0.12,-0.23,0.39,0.01,0.08,-0.52,-0.71,-0.39,-0.59
