,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.03,21.3,18.88,8.27,19.86,22.28,25.41,10.18,13.16,20.09,26.24,13.42,12.57
Expenses,8.74,18.6,20.23,7.01,17.64,19.79,24.53,7.98,10.57,16.53,25.46,11.11,9.92
Operating Profit,1.29,2.7,-1.35,1.26,2.22,2.49,0.88,2.2,2.59,3.56,0.78,2.31,2.65
OPM %,12.86,12.68,-7.15,15.24,11.18,11.18,3.46,21.61,19.68,17.72,2.97,17.21,21.08
Other Income,0.37,0.32,0.57,0.57,0.36,0.31,0.55,0.43,0.74,0.53,0.53,0.36,0.3
Interest,0.51,0.59,1.07,0.65,0.61,0.55,0.65,0.53,0.53,0.42,0.54,0.43,0.47
Depreciation,0.11,0.11,0.11,0.1,0.1,0.1,0.15,0.09,0.14,0.12,0.15,0.12,0.12
Profit before tax,1.04,2.32,-1.96,1.08,1.87,2.15,0.63,2.01,2.66,3.55,0.62,2.12,2.36
Tax %,25.96,25.86,26.53,25.0,25.13,25.12,68.25,24.88,24.81,25.07,29.03,25.0,27.97
Net Profit,0.77,1.72,-1.45,0.81,1.4,1.61,0.2,1.51,1.99,2.66,0.44,1.59,1.7
EPS in Rs,0.73,1.63,-1.37,0.77,1.33,1.53,0.19,1.43,1.89,2.52,0.42,1.5,1.6
