,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2916.0,3493.0,1504.0,1195.0,1509.0,1489.0,1652.0,1628.0,1834.0,1717.0,1690.0,1806.0,1887.0
Expenses,2673.0,3266.0,1567.0,1347.0,1395.0,1414.0,1547.0,1515.0,1690.0,1582.0,1534.0,1623.0,1693.0
Operating Profit,243.0,226.0,-63.0,-152.0,114.0,74.0,105.0,114.0,144.0,135.0,156.0,183.0,194.0
OPM %,8.0,6.0,-4.0,-13.0,8.0,5.0,6.0,7.0,8.0,8.0,9.0,10.0,10.0
Other Income,32.0,-77.0,41.0,8.0,-288.0,-255.0,-243.0,-71.0,-763.0,10.0,30.0,-9.0,15.0
Interest,44.0,38.0,23.0,21.0,25.0,35.0,37.0,38.0,49.0,51.0,53.0,49.0,50.0
Depreciation,227.0,225.0,69.0,69.0,73.0,79.0,84.0,85.0,77.0,82.0,92.0,80.0,85.0
Profit before tax,4.0,-113.0,-114.0,-234.0,-272.0,-295.0,-258.0,-81.0,-745.0,11.0,41.0,44.0,74.0
Tax %,1034.0,-21.0,-27.0,2.0,-9.0,-0.0,-10.0,-4.0,-7.0,-91.0,3.0,23.0,25.0
Net Profit,-39.0,-137.0,-144.0,-229.0,-297.0,-295.0,-285.0,-84.0,-795.0,22.0,40.0,34.0,56.0
EPS in Rs,-2.97,-10.29,-9.52,-15.07,-19.52,-19.37,-18.67,-5.55,-52.03,1.34,2.59,2.11,3.55
