,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.79,29.65,25.03,26.88,20.09,34.41,27.81,33.01
Expenses,25.66,29.75,22.77,24.87,19.06,31.38,25.9,29.53
Operating Profit,-0.87,-0.1,2.26,2.01,1.03,3.03,1.91,3.48
OPM %,-3.51,-0.34,9.03,7.48,5.13,8.81,6.87,10.54
Other Income,0.01,0.09,0.01,0.04,0.09,0.07,0.02,0.07
Interest,0.37,0.33,0.29,0.21,0.27,0.29,0.32,0.32
Depreciation,0.71,0.69,0.98,0.96,1.04,1.09,1.12,1.16
Profit before tax,-1.94,-1.03,1.0,0.88,-0.19,1.72,0.49,2.07
Tax %,43.81,43.69,-6.0,36.36,-42.11,38.37,32.65,15.46
Net Profit,-1.09,-0.57,1.06,0.55,-0.27,1.07,0.34,1.75
EPS in Rs,-0.05,-0.02,0.05,0.02,-0.01,0.05,0.01,0.08
