,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.36,4.88,7.28,6.0,8.74,6.81,6.08,5.55,2.55,3.08,3.59,4.03
Expenses,0.75,11.89,11.35,10.59,14.61,9.93,10.12,9.94,5.42,5.69,7.52,6.86
Operating Profit,-0.39,-7.01,-4.07,-4.59,-5.87,-3.12,-4.04,-4.39,-2.87,-2.61,-3.93,-2.83
OPM %,-108.33,-143.65,-55.91,-76.5,-67.16,-45.81,-66.45,-79.1,-112.55,-84.74,-109.47,-70.22
Other Income,-2.7,8.99,0.09,0.05,0.01,0.12,0.13,0.37,0.23,0.01,0.01,0.02
Interest,0.0,0.19,0.59,0.95,0.91,0.59,0.36,0.29,0.18,0.19,0.15,0.19
Depreciation,0.04,0.09,0.21,0.25,0.33,0.31,0.3,0.51,0.39,0.06,0.08,0.03
Profit before tax,-3.13,1.7,-4.78,-5.74,-7.1,-3.9,-4.57,-4.82,-3.21,-2.85,-4.15,-3.03
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-3.13,1.7,-4.78,-5.74,-7.1,-3.9,-4.57,-4.82,-3.2,-2.85,-4.15,-3.04
EPS in Rs,-3.04,1.91,-3.82,-3.81,-4.35,-3.79,-2.87,-2.69,-1.94,-1.67,-2.52,-1.96
