,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,-0,1.0,4.0,11.0,5.0,1.0,2.0,67.0,17.0,52.0,149
Expenses,0.0,0.0,0,0.0,4.0,10.0,5.0,1.0,2.0,67.0,17.0,50.0,144
Operating Profit,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.0,5
OPM %,34.0,38.0,,62.0,1.0,1.0,1.0,5.0,-18.0,-1.0,1.0,4.0,3
Other Income,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Interest,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,0.0,0.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.0,8
Tax %,33.0,31.0,0,27.0,25.0,0.0,25.0,33.0,0.0,0.0,0.0,30.0,
Net Profit,0.0,0.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,8
EPS in Rs,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.01,0.0,0.02,0.15
