,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.2,0.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
Reserves,-0.02,-0.02,0.0,0.0,-0.06,-0.04,-0.03,0.04,1.16,3.35,6.69,9.86,11.39
Borrowings,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0
Other Liabilities,-0.01,0.0,0.02,0.02,0.0,0.01,0.92,1.37,6.68,5.06,4.49,4.11,1.95
Total Liabilities,0.18,0.19,3.22,3.22,3.16,3.17,4.09,4.61,11.04,11.61,14.38,17.51,16.54
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.87,2.5,2.85,2.49,2.48
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
Investments,0.14,0.14,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.04,0.05,3.1,3.1,3.16,3.17,4.09,4.11,8.17,9.11,11.53,15.02,14.06
Total Assets,0.18,0.19,3.22,3.22,3.16,3.17,4.09,4.61,11.04,11.61,14.38,17.51,16.54
