,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.36,0.00,0.00,0.00,0.00,0.53,0.72,0.00,0.7,6.23,17.69,14.08,8.95
Expenses,0.2,0.09,0.08,0.12,0.10,0.52,0.69,0.07,0.05,5.2,17.44,13.72,8.23
Operating Profit,0.16,-0.09,-0.08,-0.12,-0.10,0.01,0.03,-0.07,0.65,1.03,0.25,0.36,0.72
OPM %,44.44,,,,,1.89,4.17,,92.86,16.53,1.41,2.56,8.04
Other Income,0.0,0.18,0.00,0.50,0.45,0.0,0.26,0.12,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.00,0.01,0.01,0.00,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0
Profit before tax,0.16,0.09,-0.09,0.37,0.35,0.01,0.27,0.04,0.64,1.02,0.24,0.36,0.72
Tax %,0.0,0.00,-11.11,0.00,0.00,0.0,0.0,0.00,0.0,0.0,204.17,0.0,0.0
Net Profit,0.15,0.09,-0.11,0.37,0.35,0.01,0.27,0.04,0.64,1.03,-0.25,0.35,0.72
EPS in Rs,0.01,0.01,-0.01,0.03,0.03,0.0,0.02,0.00,0.05,0.08,-0.02,0.03,0.06
