,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Reserves,-0.16,-0.47,-0.27,-0.71,-0.92,-0.84,-0.51,0.09,0.85
Borrowings,0.5,0.9,1.32,1.48,0.39,0.36,5.51,8.0,5.26
Other Liabilities,0.11,2.73,5.1,6.33,8.89,4.93,6.5600000000000005,10.39,18.53
Total Liabilities,0.64,7.16,10.15,11.1,12.36,8.45,15.56,22.48,28.64
Fixed Assets,0.0,2.31,2.31,2.31,2.31,2.32,2.32,2.31,2.32
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.64,4.85,7.84,8.79,10.05,6.13,13.24,20.17,26.32
Total Assets,0.64,7.16,10.15,11.1,12.36,8.45,15.56,22.48,28.64
