,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
Reserves,-1.35,-0.07,3.33,4.37,5.75,6.05,27.14,27.57,24.91,18.11,13.6,15.86,18.71
Borrowings,20.28,29.91,42.19,24.18,36.02,34.32,15.52,9.75,9.15,10.1,14.71,14.26,10.85
Other Liabilities,12.24,14.51,14.31,12.48,13.27,15.68,9.03,9.62,5.53,6.75,15.35,27.62,51.07
Total Liabilities,42.77,55.95,71.43,52.63,66.64,67.65,63.29,58.54,51.19,46.56,55.26,69.34,92.23
Fixed Assets,3.82,3.08,2.01,1.06,1.25,1.24,1.71,3.27,4.62,6.1,7.75,6.06,7.44
CWIP,0.0,0.24,0.36,0.6000000000000001,0.8300000000000001,0.8300000000000001,2.16,2.8200000000000003,2.55,0.0,0.0,0.71,0.6000000000000001
Investments,0.39,0.39,1.27,1.29,5.65,5.43,0.28,0.28,0.27,0.28,0.31,0.35,0.37
Other Assets,38.56,52.24,67.79,49.68,58.91,60.15,59.14,52.17,43.75,40.18,47.2,62.22,83.82
Total Assets,42.77,55.95,71.43,52.63,66.64,67.65,63.29,58.54,51.19,46.56,55.26,69.34,92.23
