,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,41.0,31.0,17.0,21.0,23.0,21.0,25.0,26.0,23.0,24.0
Expenses,10.0,4.0,15.0,3.0,4.0,4.0,7.0,9.0,4.0,7.0
Operating Profit,31.0,27.0,2.0,18.0,18.0,18.0,18.0,16.0,19.0,17.0
OPM %,75.0,87.0,10.0,86.0,80.0,82.0,72.0,64.0,81.0,72.0
Other Income,5.0,2.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Interest,13.0,12.0,6.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0
Depreciation,18.0,14.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Profit before tax,5.0,3.0,9.0,2.0,4.0,4.0,4.0,4.0,6.0,5.0
Tax %,30.0,22.0,18.0,18.0,51.0,17.0,31.0,20.0,16.0,16.0
Net Profit,3.0,3.0,9.0,2.0,2.0,4.0,4.0,4.0,7.0,5.0
EPS in Rs,2.17,1.92,6.45,1.49,1.56,2.84,2.63,2.87,4.57,3.54
