,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.0,3.0,8.0,28.0,11.0,45.0,77.0,95.0,121.0,74.0,61.0,129.0,150.0
Expenses,0.0,2.0,3.0,25.0,8.0,41.0,64.0,82.0,108.0,38.0,39.0,113.0,122.0
Operating Profit,1.0,1.0,5.0,4.0,3.0,4.0,12.0,13.0,13.0,36.0,22.0,16.0,28.0
OPM %,69.0,29.0,61.0,13.0,28.0,10.0,16.0,14.0,10.0,48.0,36.0,12.0,19.0
Other Income,1.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Interest,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
Depreciation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,0.0,0.0,3.0,-0.0,8.0,3.0,11.0,12.0,11.0,34.0,20.0,15.0,25.0
Tax %,1550.0,443.0,119.0,-490.0,48.0,92.0,37.0,16.0,27.0,27.0,37.0,27.0,27.0
Net Profit,-1.0,-0.0,-1.0,-2.0,4.0,0.0,7.0,10.0,8.0,25.0,12.0,11.0,18.0
EPS in Rs,-0.27,-0.36,-0.49,-1.31,2.07,0.12,3.25,4.8,3.89,12.04,5.9,5.34,8.8
