,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,39.37,47.76,47.27,43.02,57.92,49.66,62.62,3.24,13.55,0.33,0.11,0.18,0.3
Expenses,28.4,44.29,38.29,35.77,50.77,43.03,57.23,7.41,15.42,5.7,1.57,1.53,1.13
Operating Profit,10.97,3.47,8.98,7.25,7.15,6.63,5.39,-4.17,-1.87,-5.37,-1.46,-1.35,-0.83
OPM %,27.86,7.27,19.0,16.85,12.34,13.35,8.61,-128.7,-13.8,-1627.27,-1327.27,-750.0,-276.67
Other Income,1.75,56.81,1.74,1.58,1.38,2.04,0.81,0.56,-0.32,-0.77,1.04,0.12,0.0
Interest,2.99,2.77,2.0,0.79,0.72,0.73,0.81,0.68,1.01,1.26,0.87,0.66,0.57
Depreciation,3.87,3.88,3.78,3.82,3.87,3.86,3.79,3.82,3.87,3.87,3.79,3.8,3.88
Profit before tax,5.86,53.63,4.94,4.22,3.94,4.08,1.6,-8.11,-7.07,-11.27,-5.08,-5.69,-5.28
Tax %,-20.65,0.0,402.02,26.07,-2.54,50.74,68.75,6.17,45.12,39.4,-5.51,12.13,25.19
Net Profit,7.07,53.63,-14.92,3.12,4.04,2.01,0.5,-7.61,-3.88,-6.83,-5.36,-5.0,-3.95
EPS in Rs,2.31,17.53,-4.79,1.0,1.1,0.55,0.14,-2.08,-1.06,-1.76,-1.38,-1.29,-1.02
