,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3197.0,3618.0,4337.0,5264.0,5924.0,6638.0,6050.0,6527.0,6741.0,7340.0,9311.0,8094.0,8716
Expenses,2814.0,3022.0,3416.0,3987.0,4325.0,5054.0,4926.0,5458.0,5526.0,5988.0,7950.0,7341.0,7576
Operating Profit,383.0,597.0,921.0,1278.0,1599.0,1584.0,1124.0,1068.0,1215.0,1352.0,1362.0,753.0,1141
OPM %,12.0,16.0,21.0,24.0,27.0,24.0,19.0,16.0,18.0,18.0,15.0,9.0,13
Other Income,-50.0,44.0,104.0,91.0,84.0,-384.0,81.0,-187.0,139.0,68.0,63.0,121.0,141
Interest,192.0,198.0,235.0,283.0,237.0,158.0,141.0,159.0,178.0,198.0,131.0,130.0,129
Depreciation,138.0,145.0,686.0,333.0,372.0,505.0,504.0,436.0,481.0,454.0,420.0,442.0,426
Profit before tax,3.0,298.0,104.0,753.0,1074.0,536.0,560.0,287.0,694.0,769.0,873.0,302.0,727
Tax %,637.0,25.0,19.0,28.0,30.0,32.0,29.0,21.0,24.0,28.0,30.0,33.0,
Net Profit,-16.0,225.0,84.0,544.0,749.0,362.0,398.0,226.0,524.0,551.0,607.0,203.0,536
EPS in Rs,-0.15,2.25,0.92,5.37,7.33,3.56,3.83,2.09,5.05,5.37,5.98,1.98,5.35
