,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,93.0,89.0,95.0,96.0,89.0,86.0,92.0,101.0,97.0,85.0,100.0,108.0,106
Expenses,78.0,79.0,85.0,86.0,80.0,82.0,90.0,94.0,91.0,81.0,95.0,100.0,99
Operating Profit,15.0,10.0,10.0,11.0,9.0,3.0,2.0,7.0,6.0,4.0,4.0,7.0,7
OPM %,16.0,11.0,10.0,11.0,10.0,4.0,2.0,7.0,6.0,4.0,4.0,7.0,7
Other Income,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1
Interest,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1
Depreciation,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2
Profit before tax,7.0,1.0,0.0,5.0,3.0,1.0,-0.0,2.0,2.0,-0.0,1.0,5.0,5
Tax %,13.0,78.0,-138.0,33.0,28.0,91.0,8600.0,46.0,34.0,-71.0,73.0,31.0,
Net Profit,6.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,-1.0,0.0,3.0,3
EPS in Rs,6.98,0.57,1.34,3.84,2.47,0.29,1.04,1.45,1.47,-0.31,0.57,4.31,4.07
