,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,127,127,127,127,127,127,127
Reserves,1669,2019,2437,2731,3231,3393,3449
Borrowings,0,0,0,51,134,112,46
Other Liabilities,1429,1566,1837,2139,2142,2268,1894
Total Liabilities,3226,3712,4400,5048,5634,5900,5517
Fixed Assets,446,508,709,707,1803,1917,1909
CWIP,33,43,44,41,76,20,11
Investments,456,659,567,207,0,0,0
Other Assets,2291,2501,3080,4093,3754,3963,3597
Total Assets,3226,3712,4400,5048,5634,5900,5517
