,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,714.0,764.0,632.0,860.0,862.0,854.0,655.0,595.0,679.0,699.0,678.0,644.0,753.0
Expenses,697.0,706.0,698.0,739.0,765.0,742.0,688.0,611.0,636.0,654.0,675.0,628.0,681.0
Operating Profit,17.0,58.0,-66.0,121.0,97.0,112.0,-33.0,-16.0,43.0,45.0,3.0,16.0,72.0
OPM %,2.0,8.0,-10.0,14.0,11.0,13.0,-5.0,-3.0,6.0,6.0,0.0,2.0,10.0
Other Income,16.0,101.0,8.0,2.0,4.0,2.0,-169.0,57.0,-138.0,-1.0,-64.0,0.0,24.0
Interest,61.0,60.0,55.0,64.0,69.0,80.0,86.0,73.0,70.0,83.0,76.0,79.0,76.0
Depreciation,57.0,68.0,65.0,64.0,61.0,62.0,59.0,64.0,65.0,66.0,56.0,55.0,55.0
Profit before tax,-85.0,31.0,-178.0,-6.0,-29.0,-28.0,-347.0,-96.0,-230.0,-105.0,-193.0,-118.0,-35.0
Tax %,104.0,-4.0,40.0,-10.0,228.0,107.0,10.0,22.0,10.0,3.0,-23.0,-15.0,-109.0
Net Profit,3.0,32.0,-107.0,-7.0,37.0,2.0,-311.0,-75.0,-207.0,-102.0,-237.0,-136.0,-73.0
EPS in Rs,0.25,1.06,-6.46,-0.88,2.36,-0.49,-17.91,-4.65,-13.12,-6.66,-14.44,-9.3,-5.34
