,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.79,5.14,10.84,13.36,13.37,10.11,15.5,14.7,15.23,12.29,8.54,5.59,10.58
Expenses,4.82,4.98,10.66,11.95,12.75,9.6,14.92,13.68,13.36,11.88,9.06,6.33,9.74
Operating Profit,-0.03,0.16,0.18,1.41,0.62,0.51,0.58,1.02,1.87,0.41,-0.52,-0.74,0.84
OPM %,-0.63,3.11,1.66,10.55,4.64,5.04,3.74,6.94,12.28,3.34,-6.09,-13.24,7.94
Other Income,0.52,0.52,0.62,0.44,0.48,0.48,0.26,0.48,0.52,0.55,0.48,0.52,0.65
Interest,0.02,0.03,0.04,0.03,0.03,0.02,0.03,0.01,0.03,0.02,0.04,0.01,0.0
Depreciation,0.24,0.24,0.22,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.2,0.2,0.2
Profit before tax,0.23,0.41,0.54,1.58,0.83,0.73,0.57,1.25,2.13,0.72,-0.28,-0.43,1.29
Tax %,21.74,29.27,25.93,24.05,24.1,31.51,19.3,25.6,24.88,26.39,21.43,25.58,26.36
Net Profit,0.18,0.28,0.4,1.21,0.62,0.51,0.46,0.94,1.6,0.53,-0.23,-0.32,0.95
EPS in Rs,0.46,0.71,1.01,3.07,1.57,1.29,1.17,2.38,4.06,1.34,-0.58,-0.81,2.41
